Date;Time;Temperature;Mode
2018-04-11;16:52:02,515;20.6;confort
2018-04-11;17:07:02,563;21.2;confort
2018-04-11;17:22:02,611;24.2;confort
2018-04-11;17:37:02,661;22.4;confort
2018-04-11;17:52:02,712;21.6;confort
2018-04-11;18:07:02,762;21.5;confort
2018-04-11;18:22:02,813;20.9;confort
2018-04-11;18:37:02,863;20.9;confort
2018-04-11;18:52:02,911;21.3;confort
2018-04-11;19:07:02,960;21.3;confort
2018-04-11;19:22:03,010;20.9;confort
2018-04-11;19:37:03,063;20.9;confort
2018-04-11;19:52:03,114;20.5;confort
2018-04-11;20:07:03,162;20.1;confort
2018-04-11;20:22:03,212;20.0;confort
2018-04-11;20:37:03,262;19.8;confort
2018-04-11;20:52:03,312;19.6;confort
2018-04-11;21:07:03,363;20.0;confort
2018-04-11;21:22:03,412;20.3;confort
2018-04-11;21:37:03,464;20.4;confort
2018-04-11;21:52:03,513;20.5;confort
2018-04-11;22:07:03,563;20.6;confort
2018-04-11;22:22:03,603;20.6;eco
